"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..length","Opisthosoma..width","Opisthosoma.height","Opisthosoma..length","Pedicel..length","Body.length","Prosoma.height","Improved.colour.score","Constriction.height","Constriction.width","Constriction.height.1","Constriction.width.1","accuracy"
"Salticidae","Myrmarachne","Myrmarachne smaragdina","mimic",0.203252032520325,1.23577235772358,2.23577235772358,1.21951219512195,1.05691056910569,2.89430894308943,0.495934959349593,5.5609756097561,1.08130081300813,0.67,0.707317073170732,0.788617886178862,0.788617886178862,1.01626016260163,0.697634371217635
"Corinnidae","Myrmecotypus","Myrmecotypus rettenmeyeri","mimic",0.269607843137255,1.40686274509804,2.82843137254902,1.23039215686274,0.843137254901961,1.93627450980392,0.166666666666667,4.82843137254902,0.818627450980392,0.67,0.75,0.92156862745098,0.833333333333333,1,0.513671027898612
"Salticidae","Neon","Neon nellii","mimic",0.219178082191781,0.767123287671233,1.28767123287671,1.3013698630137,0.871232876712329,1.73972602739726,0,3.05479452054795,0.712328767123288,0,0,0,0,0,0.221694279721064
"Corinnidae","Nucastia","Nucastia supunnoides","mimic",0.216374269005848,0.807017543859649,1.66081871345029,0.900584795321637,0.83625730994152,1.87134502923977,0,3.66081871345029,0.654970760233918,0,0,0,0,0,0.199788766267753
"Corinnidae","Nyssus","Nyssus avidus","mimic",0.284132841328413,0.826568265682657,1.34317343173432,1.12915129151292,NA,1.40959409594096,0,2.84132841328413,NA,0,0,0,0,0,0.151938669073292
"Corinnidae","Nyssus","Nyssus luteofinis","mimic",0.208333333333333,0.578703703703704,1.35185185185185,0.87962962962963,NA,1.47685185185185,0,3.00925925925926,NA,0.33,0,0,0,0,0.442581407462378
"Corinnidae","Nyssus","Nyssus paradoxus","mimic",0.150877192982456,0.508771929824561,1.25614035087719,1.03859649122807,NA,1.71578947368421,0,3.01754385964912,NA,0,0,0,0,0,0.232332247249552
"Corinnidae","Nysuss","Nysuss albopunctatus","mimic",0.256227758007117,0.804270462633452,1.355871886121,1.51245551601423,0.651245551601424,2.08896797153025,0,3.40569395017794,0.530249110320285,0,0,0,0,0,0.211096765837795
"Corinnidae","Nysuss","Nysuss coloripes","mimic",0.245349300261691,0.706721470019342,1.27998065764023,1.30131414267835,0.936056434179087,1.86926840368643,0,3.20256855159859,0.592018432131073,0,0,0,0,0,0.199790093451006
"Corinnidae","Nysuss","Nysuss semifuscus","mimic",0.366666666666667,1.23888888888889,1.55555555555556,0.888888888888889,0.983333333333333,1.55555555555556,0.133333333333333,3.16666666666667,0.544444444444444,0.33,0,0,0,0,0.375318498393046
"Salticidae","Opisthoncus","Opisthoncus quadratarius","mimic",0.181268882175227,0.598187311178248,1.15407854984894,0.776435045317221,NA,1.12990936555891,0,2.27794561933535,NA,0,NA,0,NA,0,0.142037623954058
"Salticidae","Opisthoncus","Opisthoncus sp.","mimic",0.2,0.604878048780488,1.3609756097561,0.697560975609756,0.69609756097561,1.43414634146341,0,2.93170731707317,0.649268292682927,0,0,0,0,0,0.188664579852739
"Corinnidae","Paradiestus","Paradiestus gigantea","mimic",0.235569422776911,0.932917316692668,1.21372854914197,0.970358814352574,0.965678627145086,1.74102964118565,0,2.96255850234009,0.474258970358814,0,0,0,0,0,0.0288220730980633
"Corinnidae","Poecilipta","Poecilipta gloverae","mimic",0.15,0.48125,1.875,0.925,0.51875,1.85625,0.10625,3.86875,0.35625,0.33,0,0,0,0.85625,0.502885140861677
