"angle","species","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","bodylength","Ant.mimic.","accuracy"
"Dorsal","Salticid17 sp1","mimic","Specimen",925,"2017-07-05 14:45:06 UTC","2017-07-05 23:01:54 UTC",925,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Salticid17","Species","Salticid17 sp1","","",2.5,NA,0.742522425724988
"Dorsal","Salticid18 sp1","non-mimic","Specimen",926,"2017-07-06 07:36:06 UTC","2017-07-06 07:36:11 UTC",926,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Salticid18","Species","Salticid18 sp1","","",2.3,NA,0.637202452685132
"Dorsal","Salticid5 sp1","non-mimic","Specimen",53,"2017-01-06 03:44:25 UTC","2017-01-06 03:49:09 UTC",53,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Salticid5","Species","Salticid5 sp1","","",8.2,NA,0.644907385866476
"Dorsal","Salticid7 sp1","non-mimic","Specimen",58,"2017-01-06 03:44:29 UTC","2017-01-06 03:44:30 UTC",58,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Salticid7","Species","Salticid7 sp1","","",5.9,NA,0.42853772249782
"Dorsal","Serendib suthepica","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.853419957461008
"Dorsal","Serendib volans","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.633514604801988
"Dorsal","Servaea incana","non-mimic","Specimen",15,"2017-01-06 03:44:18 UTC","2017-01-06 03:44:20 UTC",15,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Servaea","Species","Servaea incana","(L. Keyserling, 1878)","Hoary Servaea",8.5,NA,0.414900550678469
"Dorsal","Sphecotypus niger","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.832233916493097
"Dorsal","Sphinctomyrmex sp1","model","Specimen",67,"2017-01-06 03:44:32 UTC","2017-01-06 03:44:33 UTC",67,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Sphinctomyrmex","Species","Sphinctomyrmex sp1","","",4.5,NA,0.908580846189115
"Dorsal","Storena mainae","non-mimic","Specimen",552,"2017-04-19 01:14:07 UTC","2017-04-19 01:14:09 UTC",552,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Storena","Species","Storena mainae","(Jocqué & Baehr, 1995)","",11.75,NA,0.62231088058188
"Dorsal","Tamopsis fickerti","non-mimic","Specimen",240,"2017-06-03 14:48:56 UTC","2017-06-03 14:48:57 UTC",240,"Animalia","Arthropoda","Arachnida","Araneae","Hersiliidae","Tamopsis","Species","Tamopsis fickerti","(L. Koch, 1876)","",6.7,NA,0.109770162729684
"Dorsal","Thomisid1 sp1","non-mimic","Specimen",54,"2017-01-06 03:44:27 UTC","2017-01-06 03:44:28 UTC",54,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Thomisid1","Species","Thomisid1 sp1","","",3.4,NA,0.211662881593422
"Dorsal","Tinytrema bondi","mimic","Specimen",538,"2017-04-15 00:19:38 UTC","2017-04-15 00:23:09 UTC",538,"Animalia","Arthropoda","Arachnida","Araneae","Trochanteriidae","Tinytrema","Species","Tinytrema bondi","(Platnick, 2002)","",3.4,NA,0.697524212999168
"Dorsal","Vespoidea2 sp1","mimic","Specimen",1,"2017-01-06 03:44:11 UTC","2017-01-06 03:44:12 UTC",1,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea2","Species","Vespoidea2 sp1","","",3,NA,0.767013801728354
"Dorsal","Vespoidea3 sp1","mimic","Specimen",416,"2017-08-18 07:18:58 UTC","2017-08-18 07:18:59 UTC",416,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea3","Species","Vespoidea3 sp1","","",3.7,NA,0.751409224517716
"Dorsal","Vespoidea3 sp3","mimic","Specimen",79,"2017-01-06 03:58:16 UTC","2017-01-06 03:58:18 UTC",79,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea3","Species","Vespoidea3 sp3","","",3.6,NA,0.604288718851509
"Dorsal","Vespoidea4 sp1","non-mimic","Specimen",430,"2017-02-22 12:31:30 UTC","2017-07-03 13:26:01 UTC",430,"Animalia","Arthropoda","Insecta","Hymenoptera","Mutillidae","Vespoidea4","Species","Vespoidea4 sp1","","",4.53333333333333,NA,0.763510302576764
"Dorsal","Vespoidea5 sp1","mimic","Specimen",536,"2017-04-11 00:07:45 UTC","2017-04-11 00:07:47 UTC",536,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea5","Species","Vespoidea5 sp1","","",6.225,NA,0.825755820225515
"Dorsal","Vespoidea6 sp1","mimic","Specimen",579,"2017-08-18 11:44:02 UTC","2017-08-18 11:44:04 UTC",579,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea6","Species","Vespoidea6 sp1","","",5.3,NA,0.676406328539708
"Dorsal","Zillimata scintillans","non-mimic","Specimen",539,"2017-04-15 00:36:35 UTC","2017-04-15 00:36:36 UTC",539,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Zillimata","Species","Zillimata scintillans","(Cambridge, 1869)","",6,NA,0.791140451589173
"Dorsal","Zodarid4 sp1","mimic","Specimen",515,"2017-08-16 17:35:50 UTC","2017-08-16 17:35:53 UTC",515,"Animalia","Arthropoda","Arachnida","Araneae","Zodariidae","Zodariid4","Species","Zodarid4 sp1","","",2.1,NA,0.595700527874197
"Lateral","Aetius nocturnus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.530760603968135
"Lateral","Alydid2 sp1","non-mimic","Specimen",446,"2017-03-24 05:12:32 UTC","2017-08-20 07:29:29 UTC",446,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid2","Species","Alydid2 sp1","","",11.4,NA,0.639659618997449
"Lateral","Alydid3 sp1","mimic","Specimen",444,"2017-03-24 05:27:51 UTC","2017-03-24 05:41:51 UTC",444,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid3","Species","Alydid3 sp1","","",13.6,NA,0.838216168825647
"Lateral","Amyciaea albomaculata","mimic","Specimen",398,"2017-02-02 12:24:15 UTC","2017-02-02 12:24:17 UTC",398,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea albomaculata","(O.P.-Cambridge, 1874)","",4.975,NA,0.585167197712298
"Lateral","Apricia jovialis","mimic","Specimen",426,"2017-02-10 03:46:59 UTC","2017-02-10 03:47:01 UTC",426,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Apricia","Species","Apricia jovialis","(L. Koch, 1879)","Jovial jumper",6.2,NA,0.5209382716173
"Lateral","Astia hariola","non-mimic","Specimen",704,"2017-06-01 13:26:16 UTC","2017-06-01 13:26:56 UTC",704,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Astia","Species","Astia hariola","(Koch, 1879)","Gypsy Jumper",5.2,NA,0.296948251535025
"Lateral","Camponotus nigriceps","model","Specimen",267,"2017-08-20 06:24:14 UTC","2017-08-20 06:24:16 UTC",267,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Species","Camponotus nigriceps","(Smith, 1858)","",14.4,NA,0.890029039965984
"Lateral","Camponotus sp2","model","Specimen",310,"2017-08-20 06:05:23 UTC","2017-08-20 06:05:39 UTC",310,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Species","Camponotus sp2","","",6.6,NA,0.854796636566963
"Lateral","Castianeira gertschi","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.474375591412783
"Lateral","Castianeira longipalpa","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0
"Lateral","Castianeira trilineata","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.22792647308449
"Lateral","Cicadellid2 sp1","non-mimic","Specimen",506,"2017-04-11 01:26:15 UTC","2017-04-11 01:26:17 UTC",506,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellid2","Species","Cicadellid2 sp1","","",1.8,NA,0.210024130630567
"Lateral","Coleoptera2 sp1","mimic","Specimen",381,"2017-01-06 03:45:04 UTC","2017-01-06 04:03:41 UTC",381,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera2","Species","Coleoptera2 sp1","","",5.925,NA,0.617520438516763
"Lateral","Coleoptera3 sp1","mimic","Specimen",404,"2017-04-24 13:23:23 UTC","2017-04-24 13:23:24 UTC",404,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera3","Species","Coleoptera3 sp1","","",11,NA,0.582494136511819
"Lateral","Colobathristid1 sp1","mimic","Specimen",884,"2017-08-17 14:49:39 UTC","2017-08-17 14:49:42 UTC",884,"Animalia","Arthropoda","Insecta","Hemiptera","Colobathristidae","Colobathristid1","Species","Colobathristid1 sp1","","",7,NA,0.567353597128119
